X1,X2,X3,X4,X5,X6,X7,X8,X9,Y
619,0,42,2,0,1,1,1,101348.88,1
502,0,42,8,159660.8,3,1,0,113931.57,1
645,1,44,8,113755.78,2,1,0,149756.71,1
822,1,50,7,0,2,1,1,10062.8,0
376,0,29,4,115046.74,4,1,0,119346.88,1
501,1,44,4,142051.07,2,0,1,74940.5,0
684,1,27,2,134603.88,1,1,1,71725.73,0
528,1,31,6,102016.72,2,0,0,80181.12,0
616,1,45,3,143129.41,2,0,1,64327.26,0
653,1,58,1,132602.88,1,1,0,5097.67,1
726,0,24,6,0,2,1,1,54724.03,0
510,0,38,4,0,1,1,0,118913.53,1
574,0,43,3,141349.43,1,1,1,100187.43,0
411,1,29,0,59697.17,2,1,1,53483.21,0
591,0,39,3,0,3,1,0,140469.38,1
475,0,45,0,134264.04,1,1,0,27822.99,1
490,1,31,3,145260.23,1,0,1,114066.77,0
804,1,33,7,76548.6,1,0,1,98453.45,0
582,1,41,6,70349.48,2,0,1,178074.04,0
465,0,51,8,122522.32,1,0,0,181297.65,1
834,0,49,2,131394.56,1,0,0,194365.76,1
776,0,32,4,109421.13,2,1,1,126517.46,0
829,0,27,9,112045.67,1,1,1,119708.21,1
637,0,39,9,137843.8,1,1,1,117622.8,1
698,1,44,10,116363.37,2,1,0,198059.16,0
655,1,41,8,125561.97,1,0,0,164040.94,1
601,1,42,1,98495.72,1,1,0,40014.76,1
619,1,43,1,125211.92,1,1,1,113410.49,0
656,1,45,5,127864.4,1,1,0,87107.57,0
725,1,19,0,75888.2,1,0,0,45613.75,0
511,0,66,4,0,1,1,0,1643.11,1
614,1,51,4,40685.92,1,1,1,46775.28,0
742,1,35,5,136857,1,0,0,84509.57,0
738,1,58,2,133745.44,4,1,0,28373.86,1
519,1,36,9,0,2,0,1,145562.4,0
777,0,32,2,0,1,1,0,136458.19,1
750,1,22,3,121681.82,1,1,0,128643.35,1
646,0,46,4,0,3,1,0,93251.42,1
647,0,44,5,0,3,1,1,174205.22,1
730,1,42,4,0,2,0,1,85982.47,0
773,1,41,9,102827.44,1,0,1,64595.25,0
814,1,29,8,97086.4,2,1,1,197276.13,0
710,1,22,8,0,2,0,0,99645.04,0
738,1,31,9,82674.15,1,1,0,41970.72,0
670,0,65,1,0,1,1,1,177655.68,1
622,0,46,4,107073.27,2,1,1,30984.59,1
582,1,32,1,88938.62,1,1,1,10054.53,0
785,0,36,2,99806.85,1,0,1,36976.52,0
479,1,35,9,92833.89,1,1,0,99449.86,1
685,1,30,3,90536.81,1,0,1,63082.88,0
538,1,39,7,108055.1,2,1,0,27231.26,0
675,1,36,9,106190.55,1,0,1,22994.32,0
721,1,28,9,154475.54,2,0,1,101300.94,1
524,0,31,8,107818.63,1,1,0,199725.39,1
656,0,39,6,0,2,1,0,141069.88,0
684,0,48,10,126384.42,1,1,1,198129.36,0
432,1,42,9,152603.45,1,1,0,110265.24,1
549,0,52,1,0,1,0,1,8636.05,1
625,1,56,0,148507.24,1,1,0,46824.08,1
795,0,33,9,130862.43,1,1,1,114935.21,0
686,1,25,1,0,2,0,1,16459.37,0
637,1,40,2,133463.1,1,0,1,93165.34,0
584,0,48,2,213146.2,1,1,0,75161.25,1
579,0,35,1,129490.36,2,0,1,8590.83,1
793,1,52,2,0,1,1,0,159123.82,1
691,0,31,5,40915.55,1,1,0,126213.84,1
485,0,21,5,113157.22,1,1,1,54141.5,0
650,1,37,5,106967.18,1,0,0,24495.03,0
754,0,32,7,0,2,1,0,89520.75,0
535,0,48,9,0,1,1,0,149892.79,1
716,1,42,8,0,2,1,0,180800.42,0
614,0,43,6,0,2,1,1,109041.53,0
706,1,57,7,0,1,1,0,17941.16,1
800,0,49,7,108007.36,1,0,0,47125.11,0
683,1,29,0,133702.89,1,1,0,55582.54,1
660,1,31,9,125189.75,2,1,1,139874.43,0
704,0,24,7,113034.22,1,1,0,162503.48,1
615,0,41,9,109013.23,1,1,0,196499.96,0
667,0,39,2,0,2,1,0,40721.24,1
480,1,44,10,129608.57,1,1,0,5472.7,1
606,1,36,5,190479.48,2,0,0,179351.89,0
754,0,55,3,161608.81,1,1,0,8080.85,1
510,1,65,2,0,2,1,1,48071.61,0
804,0,50,4,0,1,1,1,8546.87,1
514,1,32,8,0,2,1,0,95857.18,0
525,0,37,0,0,1,0,1,131521.72,0
715,0,41,8,56214.85,2,0,0,92982.61,1
512,0,36,3,84327.77,2,1,0,17675.36,0
479,1,40,1,0,2,0,0,114996.43,0
807,1,35,3,174790.15,1,1,1,600.36,0
501,1,57,10,0,2,1,1,47847.19,0
850,1,30,2,141040.01,1,1,1,5978.2,0
516,1,50,5,0,1,0,1,146145.93,1
711,0,38,2,129022.06,2,1,1,14374.86,1
512,1,33,3,176666.62,1,1,0,94670.77,0
550,1,37,3,0,1,1,1,179670.31,0
608,0,41,3,89763.84,1,0,0,199304.74,1
643,1,45,5,0,1,1,0,142513.5,1
671,1,45,2,106376.85,1,0,1,158264.62,0
689,1,33,2,161814.64,2,1,0,169381.9,0
